Store_id,Store_Name,Biz_Name,Address,City,Province,Postal Code,Latitude,Longitude,Rating,Types
496109,Dunkin'-Donuts-Montreal,TROU DE BEIGNE,3202 Beaubien East St,Montreal,Quebec,H1Y1H7,45.5545203,-73.5863547,4.5,"bakery, store, food, point_of_interest, establishment"
496108,Dunkin'-Donuts-Montreal,Dunkin' Donuts,3585 Hochelaga,Montreal,Quebec,H1W1H9,45.5471486,-73.5514618,,"bakery, store, food, point_of_interest, establishment"
496112,Dunkin'-Donuts-Montreal,Dunkin' Donuts,"505 Rue St. Catherine E., L# Cc 704",Montreal,Quebec,H2L2C9,45.514905,-73.559693,4.4,"cafe, bakery, store, restarant, food, point_of_interest, establishment"
496104,Dunkin'-Donuts-Montreal,Dunkin' Donuts,6130 Sherbrooke West,Montreal,Quebec,H4A1Y3,45.467173,-73.621671,,"bakery, store, food, point_of_interest, establishment"
496101,Dunkin'-Donuts-Montreal,Dunkin' Donuts,"7275 Sherbrooke East,Local 3",Montreal,Quebec,H1N1E9,45.5898692,-73.5393136,4.1,"cafe, bakery, store, restarant, food, point_of_interest, establishment"
496103,Dunkin'-Donuts-Montreal,Dunkin' Donuts,8005 Rue Langelier,Montreal,Quebec,H1P2X6,45.5949769,-73.5808427,4.1,"cafe, bakery, store, restarant, food, point_of_interest, establishment"
496111,Dunkin'-Donuts-Montreal,Dunkin' Donuts,"845 Ste-Catherine,East 201",Montreal,Quebec,H2L4M4,45.5118125,-73.5622731,4.4,"cafe, bakery, store, restarant, food, point_of_interest, establishment"
496100,Dunkin'-Donuts-Montreal,Dunkin' Donuts,8960 Sherbrooke Street East,Montreal,Quebec,H1L1C7,45.606789,-73.528425,4.1,"cafe, bakery, store, restarant, food, point_of_interest, establishment"
496113,Dunkin'-Donuts-Montreal,Dunkin' Donuts,"Eaton Centre   #1254, 705 Rue Ste Catherine Ouest",Montreal,Quebec,H3B4G5,45.502466,-73.5713041,4.4,"cafe, bakery, store, restarant, food, point_of_interest, establishment"
496122,Dunkin'-Donuts-Terrebonne,Dunkin' Donuts,110 Rang Saint-Francois,Terrebonne,Quebec,J6Y1J5,45.6732893,-73.8036548,,"bakery, store, food, point_of_interest, establishment"
496093,Dunkin'-Donuts-Vanier,Krispy Kreme Doughnuts,380 Marais,Vanier,Quebec,G1M3A2,46.828853,-71.281884,4.6,"bakery, store, food, point_of_interest, establishment"
11048801,Hard-Rock-Cafe-Niagara-Falls,Hard Rock Cafe,5705 Falls Ave.,Niagara Falls,Ontario,L2H 6T3,43.0921697,-79.0728028,3.8,"bar, restarant, food, point_of_interest, establishment"
11048803,Hard-Rock-Cafe-Ottawa,Sens House,73 York St.,Ottawa,Ontario,K1N 5T2,45.4288189,-75.6921925,3.8,"meal_delivery, bar, meal_takeaway, restarant, food, point_of_interest, establishment"
